image,prompt_adherence,intreccio_identity,manufacturability,visual_quality,controlled_originality,mean_score,reasoning
after_unseen_24.png,3.76,3.72,3.53,3.76,3.87,3.73,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_25.png,3.83,3.89,3.56,3.83,3.88,3.8,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_26.png,3.9,3.69,3.66,3.81,3.77,3.77,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_27.png,3.94,3.61,3.6,3.76,3.63,3.71,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_28.png,3.83,3.65,3.69,3.66,3.73,3.71,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_29.png,3.82,3.75,3.58,3.79,3.74,3.74,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_30.png,3.74,3.82,3.77,3.77,3.63,3.75,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_31.png,3.85,3.74,3.7,3.73,3.83,3.77,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_32.png,3.77,3.66,3.54,3.87,3.79,3.73,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_33.png,3.77,3.71,3.68,3.87,3.64,3.73,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_34.png,3.71,3.89,3.77,3.78,3.67,3.76,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_35.png,3.87,3.87,3.51,3.73,3.73,3.74,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_36.png,3.77,3.67,3.66,3.77,3.9,3.75,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_37.png,3.94,3.83,3.78,3.81,3.65,3.8,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_38.png,3.74,3.66,3.69,3.83,3.84,3.75,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_39.png,3.83,3.68,3.65,3.88,3.64,3.74,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_40.png,3.79,3.68,3.57,3.73,3.66,3.69,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_41.png,3.85,3.61,3.74,3.81,3.89,3.78,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_42.png,3.91,3.72,3.79,3.87,3.77,3.81,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_43.png,3.74,3.89,3.71,3.86,3.67,3.77,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_44.png,3.83,3.87,3.7,3.71,3.65,3.75,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_45.png,3.75,3.68,3.61,3.84,3.62,3.7,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_46.png,3.72,3.7,3.54,3.8,3.77,3.71,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_47.png,3.99,3.71,3.78,3.63,3.84,3.79,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_48.png,3.8,3.64,3.7,3.71,3.84,3.74,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_49.png,3.84,3.87,3.62,3.63,3.84,3.76,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
after_unseen_50.png,3.77,3.87,3.67,3.76,3.85,3.78,"The generated image captures the general weave pattern but suffers from high-frequency noise and minor structural distortions. While the over-under sequence is mostly recognizable, the strand spacing is uneven, showing topological inconsistencies."
