image,prompt_adherence,intreccio_identity,manufacturability,visual_quality,controlled_originality,mean_score,reasoning
after_unseen_22.png,4.22,4.09,4.13,4.39,4.01,4.17,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_23.png,4.34,4.17,3.98,4.16,4.3,4.19,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_24.png,4.16,4.12,3.93,4.26,4.27,4.15,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_25.png,4.23,4.29,3.96,4.33,4.28,4.22,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_26.png,4.3,4.09,4.06,4.31,4.17,4.19,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_27.png,4.34,4.01,4.0,4.26,4.03,4.13,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_28.png,4.23,4.05,4.09,4.16,4.13,4.13,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_29.png,4.22,4.15,3.98,4.29,4.14,4.16,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_30.png,4.14,4.22,4.17,4.27,4.03,4.17,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_31.png,4.25,4.14,4.1,4.23,4.23,4.19,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_32.png,4.17,4.06,3.94,4.37,4.19,4.15,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_33.png,4.17,4.11,4.08,4.37,4.04,4.15,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_34.png,4.11,4.29,4.17,4.28,4.07,4.18,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_35.png,4.27,4.27,3.91,4.23,4.13,4.16,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_36.png,4.17,4.07,4.06,4.27,4.3,4.17,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_37.png,4.34,4.23,4.18,4.31,4.05,4.22,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_38.png,4.14,4.06,4.09,4.33,4.24,4.17,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_39.png,4.23,4.08,4.05,4.38,4.04,4.16,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_40.png,4.19,4.08,3.97,4.23,4.06,4.11,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_41.png,4.25,4.01,4.14,4.31,4.29,4.2,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_42.png,4.31,4.12,4.19,4.37,4.17,4.23,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_43.png,4.14,4.29,4.11,4.36,4.07,4.19,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_44.png,4.23,4.27,4.1,4.21,4.05,4.17,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_45.png,4.15,4.08,4.01,4.34,4.02,4.12,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_46.png,4.12,4.1,3.94,4.3,4.17,4.13,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_47.png,4.39,4.11,4.18,4.13,4.24,4.21,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_48.png,4.2,4.04,4.1,4.21,4.24,4.16,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_49.png,4.24,4.27,4.02,4.13,4.24,4.18,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
after_unseen_50.png,4.17,4.27,4.07,4.26,4.25,4.2,"The generated image demonstrates a highly detailed weave pattern with clean thread-level details. Border stitches are straight and aligned, though minor structural inconsistencies at the intersections make it slightly imperfect compared to the hand-woven reference."
